incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_county,Population(SUM),incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active
 Bridge Fire,Y,2018-01-09 13:46:00+00:00,2017-10-31 11:22:00+00:00, Shasta-Trinity National Forest ,Shasta,181852,37,100,nan, Shasta-Trinity National Forest ,-122.309,40.774,nan,2ca11d45-8139-4c16-8af0-880d99b21e82,2018-01-09 13:46:00+00:00,1/9/2018,10/31/2017,N
Pala Fire,Y,2020-09-16 14:07:35+00:00,2009-05-24 14:56:00+00:00,CAL FIRE San Diego Unit,San Diego,3289701,122,100,nan,CAL FIRE San Diego Unit,1,1,Wildfire,8f61f461-552d-4538-b186-35ab030da416,2009-05-25 00:00:00+00:00,5/25/2009,5/24/2009,N
River Fire,Y,2022-10-24 11:39:23+00:00,2013-02-24 08:16:00+00:00,CAL FIRE San Bernardino Unit,Inyo,18829,407,100,nan,"CAL FIRE San Bernardino Unit, Inyo County Sheriff, US Forest Service, BLM, LADWP, Lone Pine Volunteer Fire Department, Big Pine Volunteer Fire Department, Olancha Volunteer Fire Department, Independence Volunteer Fire Department.",-118.01651,36.602575,nan,094719ba-a47b-4abb-9ec5-a506b2b9fd23,2013-02-28 20:00:00+00:00,2/28/2013,2/24/2013,N
Fawnskin Fire,Y,2013-04-22 09:00:00+00:00,2013-04-20 17:30:00+00:00,San Bernardino National Forest,San Bernardino,2180563,30,100,nan,San Bernardino National Forest,-116.941311,34.288877,nan,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f,2013-04-22 09:00:00+00:00,4/22/2013,4/20/2013,N
Gold Fire,Y,2013-05-01 07:00:00+00:00,2013-04-30 12:59:00+00:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,157243,274,100,nan,CAL FIRE Madera-Mariposa-Merced Unit,-119.635004,37.116295,nan,357ffc13-bef9-48eb-810f-c5de851972eb,2013-05-01 07:00:00+00:00,5/1/2013,4/30/2013,N
Panther Fire,Y,2022-10-24 11:40:03+00:00,2013-05-01 09:12:00+00:00,CAL FIRE Butte Unit,Tehama,65484,6896,100,nan,"CAL FIRE Butte Unit, CAL FIRE, USFS (Lassen and Plumas NF), CDCR, SPI, Collins Pine, Chico Fire Department",-121.595555,40.190062,nan,53122f0f-fefc-4dbf-b2d8-566b42ced66d,2013-05-09 09:00:00+00:00,5/9/2013,5/1/2013,N
Silverado Fire,Y,2013-05-01 17:15:00+00:00,2013-04-30 23:44:00+00:00,CAL FIRE Sonoma-Lake-Napa Unit,Napa,137384,75,100,nan,CAL FIRE Sonoma-Lake-Napa Unit,-122.350844,38.441792,nan,d8d1c943-7b5d-4885-9043-f41075d6eded,2013-05-01 17:15:00+00:00,5/1/2013,4/30/2013,N
Yellow Fire,Y,2013-05-03 06:15:00+00:00,2013-05-01 02:01:00+00:00,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,488436,125,100,nan,CAL FIRE Sonoma-Lake-Napa Unit,-122.655616,38.638828,nan,64e4f81e-d872-44c4-ba8d-111fa77124ba,2013-05-03 06:15:00+00:00,5/3/2013,5/1/2013,N
Summit Fire,Y,2022-10-24 11:40:42+00:00,2013-05-01 12:38:00+00:00,CAL FIRE/Riverside County Fire ,Riverside,2429487,2956,100,nan,CAL FIRE/Riverside County Fire ,-116.941311,34.288877,nan,a1b14be5-a8cf-4e40-8588-96becf4c5879,2013-05-04 18:30:00+00:00,5/4/2013,5/1/2013,N
Tres Pinos Fire,Y,2013-05-03 18:45:00+00:00,2013-05-03 11:42:00+00:00,CAL FIRE San Benito-Monterey ,San Benito,64753,354,100,nan,CAL FIRE San Benito-Monterey ,-120.937494,37.160346,nan,ca68f3c4-4906-4952-b794-4531d7da8369,2013-05-03 18:45:00+00:00,5/3/2013,5/3/2013,N
