incident_administrative_unit,incident_county,incident_acres_burned,incident_longitude,incident_latitude,incident_type,calfire_incident,mean_temperature,Population,incident_days,month_extinguished
 Shasta-Trinity National Forest ,Shasta,37.0,-122.309,40.774,Unknown,False,9.712425,181852,70.0,1
CAL FIRE San Diego Unit,San Diego,122.0,1.0,1.0,Wildfire,True,26.150545,3289701,1.0,5
CAL FIRE San Bernardino Unit,Inyo,407.0,-118.01651,36.602575,Unknown,True,18.313614,18829,4.0,2
San Bernardino National Forest,San Bernardino,30.0,-116.941311,34.288877,Unknown,False,11.841945,2180563,2.0,4
CAL FIRE Madera-Mariposa-Merced Unit,Madera,274.0,-119.635004,37.116295,Unknown,True,21.468794,157243,1.0,5
CAL FIRE Butte Unit,Tehama,6896.0,-121.595555,40.190062,Unknown,True,11.319171,65484,8.0,5
CAL FIRE Sonoma-Lake-Napa Unit,Napa,75.0,-122.350844,38.441792,Unknown,True,23.229082,137384,1.0,5
CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,125.0,-122.655616,38.638828,Unknown,True,22.635084,488436,2.0,5
CAL FIRE/Riverside County Fire ,Riverside,2956.0,-116.941311,34.288877,Unknown,True,9.339928,2429487,3.0,5
CAL FIRE San Benito-Monterey ,San Benito,354.0,-120.937494,37.160346,Unknown,True,26.200417,64753,0.0,5
CAL FIRE Tehama-Glenn Unit,Glenn,217.0,-122.560862,39.514139,Unknown,True,21.2015,28657,4.0,5
"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit",San Bernardino,75.0,-117.4408,34.1834,Unknown,True,24.418777,2180563,2.0,5
CAL FIRE/Riverside County Fire,Riverside,650.0,-116.855019,33.894055,Unknown,True,17.960835,2429487,1.0,5
CAL FIRE / USFS Los Padres National Forest,"Kern, Ventura",4346.0,-118.9411,34.7861,Unknown,True,12.57075,1748892,6.0,5
CAL FIRE Riverside Unit,Riverside,40.0,-116.161201,33.655638,Unknown,True,26.277792,2429487,1.0,5
CAL FIRE/Los Angeles County ,Los Angeles,712.0,-118.610044,34.49149,Unknown,True,18.097876,9936690,1.0,5
CAL FIRE Madera-Mariposa-Merced Unit,Madera,91.0,-119.7917,37.1927,Unknown,True,21.113459,157243,1.0,5
CAL FIRE San Luis Obispo Unit,San Luis Obispo,35.0,-120.91375,35.49864,Unknown,True,21.125334,281712,0.0,5
CAL FIRE Riverside Unit,Riverside,25.0,-116.907213,33.96201,Unknown,True,21.591333,2429487,0.0,5
CAL FIRE/Riverside County Fire ,Riverside,90.0,-116.6534,33.9582,Unknown,True,28.072664,2429487,0.0,5
CAL FIRE Tuolumne-Calaveras Unit ,San Joaquin,303.0,-120.90325,38.04993,Unknown,True,19.807333,779445,0.0,5
CAL FIRE San Diego Unit,San Diego,100.0,-116.900368,32.564465,Unknown,True,17.469625,3289701,1.0,5
CAL FIRE San Diego Unit,San Diego,2650.0,-116.52579,33.12111,Unknown,True,19.562542,3289701,3.0,5
CAL FIRE San Luis Obispo Unit,San Luis Obispo,50.0,-120.6368,35.5123,Unknown,True,16.059416,281712,0.0,5
CAL FIRE/Riverside County Fire,Riverside,124.0,-117.187934,33.963591,Unknown,True,16.115915,2429487,0.0,5
CAL FIRE San Diego Unit,San Diego,2500.0,-116.5209,33.04458,Unknown,True,16.352837,3289701,5.0,5
USFS Los Padres National Forest,Santa Barbara,1984.0,-119.82429,34.55048,Unknown,False,19.25525,445213,3.0,5
Los Angeles County Fire Department,Los Angeles,149.0,-118.58688,34.419284,Unknown,True,22.576294,9936690,1.0,5
Santa Barbara County Fire,Santa Barbara,170.0,-120.074655,34.611824,Unknown,True,17.878,445213,1.0,5
Los Padres National Forest,San Luis Obispo,500.0,-120.05131,35.15832,Unknown,False,23.229944,281712,2.0,6
CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,100.0,-120.33313,37.91529,Unknown,True,25.351166,54993,0.0,6
CAL FIRE Butte Unit,Butte,298.0,-121.576804,39.434183,Unknown,True,29.064667,213605,0.0,6
USFS San Bernardino National Forest,Riverside,0.0,-116.84137,33.99647,Unknown,False,23.628836,2429487,0.0,6
CAL FIRE Sonoma-Lake-Napa Unit,"Sonoma, Solano, Lake, Colusa",28.0,-122.0437,38.4229,Unknown,True,20.356585,1029266,4.0,6
CAL FIRE Madera-Mariposa-Merced Unit,Merced,124.0,-121.006939,37.03776,Unknown,True,22.074915,282290,1.0,6
CAL FIRE Sonoma-Lake-Napa Unit,Lake,30.0,-122.703193,38.99233,Unknown,True,24.4825,68024,1.0,6
USFS Angeles National Forest/Los Angeles County/CAL FIRE,Los Angeles,30274.0,-118.423176,34.585595,Unknown,True,22.082,9936690,9.0,6
CAL FIRE Santa Clara Unit,Alameda,240.0,-121.737213,37.775057,Unknown,True,26.102333,1663823,0.0,6
CAL FIRE/Riverside County Fire,Riverside,42.0,-117.1265,33.96936,Unknown,True,23.729166,2429487,0.0,6
CAL FIRE Amador-El Dorado Unit,Amador,96.0,-120.966016,38.27783,Unknown,True,21.604376,40577,1.0,6
CAL FIRE Madera-Mariposa-Merced Unit,Madera,75.0,-119.75636,37.169379,Unknown,True,24.793417,157243,2.0,6
CAL FIRE/Fresno County Fire,Fresno,108.0,-119.628389,36.772425,Unknown,True,26.212667,1008280,0.0,6
CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest ,Mariposa,1708.0,-119.91071,37.58202,Unknown,True,18.661484,17130,10.0,6
CAL FIRE/Placer County Fire,Placer,237.0,-121.380862,38.729297,Unknown,True,22.976084,406608,0.0,6
CAL FIRE/Fresno County Fire,Fresno,35.0,-119.558244,36.763367,Unknown,True,26.167168,1008280,0.0,6
CAL FIRE/Riverside County Fire,Riverside,40.0,-117.302057,34.001745,Unknown,True,21.275167,2429487,1.0,6
